start	end	text
30000	31220	ทุก ๆ วัน
31260	32580	โดยไม่มีเครื่องมือมาช่วย
32580	34580	นี่มัน...เป็นไปไม่ได้เลย
34760	35300	ถ้างั้น...
35500	37960	เทคนีכนีเห่นยน มันก็มาช่วยรงจุดนี้
38260	39640	ตั้งแต่ โอเค...
39680	42000	เราเก็บข้อมูลในแปงว่า
42040	43920	พืดเป็นอย่างไรบ้าง
43960	46340	เอาข้อมูลนั้นมาวิธกร้อดูว่า
46340	48360	โดยกับข้อมูลดิบที่เราได้มา
48560	50360	เราเอามาประมวลผล
50400	51940	มาติความ เข้าใจ
53140	54900	พืดของเรา แปงของเรา อย่างไรได้บ้าง
54900	55400	เล้วก็
55520	56820	พอเราเข้าใจแล้ว
56940	58160	เราจะแร์สปอนส์อย่างหน้า
58160	60020	เราจะมีแอนdt. ไคส์ชันกับมันอย่างไหน
60020	61560	ว่่าถ้ามันมีปัญหานี้
92220	93720	ดาวเทียมนี่มันโคจรรอบโลกอยู่แล้ว
93720	94980	มันได้ข้อมูลทั้งโลก
95560	96740	แต่จุดที่
97360	99060	ภาพถ่ายจากโดรนมันเหนือกว่า
99240	100280	มีสองจุดก็คือ
101200	102520	Spatial Resolution หรือ
102820	104740	ความระเย็ดเชิงพื้นที่
105120	106900	คำสับที่เค้าใช้อันหนึ่งก็คือเป็น
107200	108700	Ground Sampling Distance ก็คือ
108980	110200	หนึ่งจุดของภาพเนี่ย
110200	112080	มันคอบคุมพื้นที่ขนาดไหน
112860	114420	ถ้าเปรียบเทียบภาพถ่าย ของโดรนเนี่ย
114420	116340	เราสามารถได้ความระเย็ดที่
116340	118380	50 cm ต่อ 1 อัน
118620	120960	ซึ่งเราสามารถเห็นรายละเรียจของต้นไม้ได้
121460	122420	ในขณะที่
122580	123840	ภาพถ่ายจากดาวเทียมนี่
123840	125380	มันอาจจะระเย็ดได้แค่
125620	126880	15 ไม่ต่ออัน
126880	127200	ซึ่ง
127500	130580	เราไม่สามารถรู้ได้เลยว่ามันเกิดอะไรขึ้นใน
130840	131540	ในพื้นที่นั้น
131540	132580	เราเห็นมาแค่จุดเดียว
132580	134580	ก็คือมันใหญ่กว่าต้นไม้ทั้งต้นแล้ว
139080	139880	อีกจุดหนึ่งก็คือ
139880	141380	อันนี้เปรียบเทียบ
142420	143460	เป็นภาพสี
143460	144500	และก็ภาพ
145300	146220	Multispectrum
146220	146760	ของ
147040	147800	โดรนและ
148260	148800	ดาวเทียม
148800	149420	ก็จะเห็นได้ว่า
149680	150840	ภาพจากดาวเทียมเนี่ย
